<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,1,20060102,010000,1.18450,1.18550,1.18450,1.18550
EURUSD,1,20060102,012200,1.18450,1.18490,1.18450,1.18490
EURUSD,1,20060102,012600,1.18460,1.18560,1.18460,1.18560
EURUSD,1,20060102,012800,1.18470,1.18570,1.18470,1.18570
EURUSD,1,20060102,013200,1.18450,1.18550,1.18450,1.18550
EURUSD,1,20060102,014400,1.18400,1.18500,1.18400,1.18500
EURUSD,1,20060102,015300,1.18440,1.18490,1.18440,1.18470
EURUSD,1,20060102,015400,1.18460,1.18520,1.18420,1.18480
EURUSD,1,20060102,015500,1.18440,1.18480,1.18430,1.18460
EURUSD,1,20060102,015600,1.18430,1.18530,1.18430,1.18470
EURUSD,1,20060102,020000,1.18450,1.18550,1.18420,1.18500
EURUSD,1,20060102,020300,1.18410,1.18490,1.18410,1.18490
EURUSD,1,20060102,020600,1.18420,1.18500,1.18420,1.18500
EURUSD,1,20060102,020700,1.18430,1.18490,1.18410,1.18490
EURUSD,1,20060102,021200,1.18390,1.18500,1.18390,1.18500
EURUSD,1,20060102,021300,1.18420,1.18490,1.18410,1.18450
EURUSD,1,20060102,021400,1.18410,1.18510,1.18400,1.18450
